[0.398661,0.003197],[0.374392,0.004764],[0.281036,0.004435],[0.300000,0.071198],[0.300000,0.054445],[0.249337,0.033957],[0.438286,0.461577],[0.300000,0.617799],[0.441610,0.695023]
[0.205934,0.023950],[0.300000,0.007133],[0.392794,0.008418],[0.300000,0.039891],[0.277993,0.089732],[0.300000,0.063103],[0.392203,0.223964],[0.445924,0.352588],[0.417809,0.246189]
[0.435214,0.024955],[0.366595,0.012710],[0.300000,0.016157],[0.300000,0.030629],[0.300000,0.060208],[0.435353,0.033289],[0.266925,0.491269],[0.243647,0.192459],[0.356794,0.609436]
[0.300000,0.002105],[0.437408,0.013328],[0.379933,0.022287],[0.419093,0.098279],[0.300000,0.050233],[0.370314,0.074621],[0.214703,0.263109],[0.266361,0.600987],[0.300000,0.291110]
[0.300000,0.027316],[0.300000,0.007008],[0.379779,0.012157],[0.277676,0.077165],[0.419500,0.034051],[0.300000,0.034811],[0.406148,0.198594],[0.377040,0.386168],[0.228330,0.442872]
[0.277440,0.018873],[0.386281,0.027617],[0.433812,0.013262],[0.204185,0.086685],[0.419736,0.058913],[0.399528,0.075783],[0.300000,0.258778],[0.300000,0.280517],[0.300000,0.428612]
[0.251184,0.009122],[0.449867,0.023922],[0.300000,0.028945],[0.300000,0.057568],[0.382292,0.074923],[0.423708,0.097807],[0.218915,0.666189],[0.390902,0.598234],[0.300000,0.232091]
[0.409109,0.016614],[0.285844,0.020780],[0.300000,0.008248],[0.361145,0.092258],[0.365435,0.032750],[0.300000,0.058056],[0.207569,0.142741],[0.300000,0.545451],[0.415378,0.400772]
[0.443843,0.001343],[0.300000,0.008804],[0.215091,0.002063],[0.392205,0.041049],[0.369991,0.070883],[0.414432,0.072364],[0.300000,0.687250],[0.296605,0.218322],[0.300000,0.410242]
[0.265521,0.014303],[0.300000,0.012024],[0.392834,0.007160],[0.420259,0.080813],[0.300000,0.093271],[0.375242,0.073069],[0.421731,0.610673],[0.200204,0.109941],[0.300000,0.351711]
[0.438781,0.021140],[0.300000,0.001679],[0.300000,0.012649],[0.288623,0.080653],[0.393086,0.087615],[0.300000,0.068076],[0.398573,0.163282],[0.403263,0.243986],[0.213549,0.444572]
[0.411728,0.013087],[0.383818,0.005273],[0.406346,0.028366],[0.300000,0.038785],[0.300000,0.048249],[0.394125,0.060568],[0.252851,0.513295],[0.235266,0.160558],[0.300000,0.473731]
[0.382185,0.029866],[0.300000,0.003620],[0.393935,0.026411],[0.300000,0.058578],[0.300000,0.040899],[0.241789,0.037632],[0.420653,0.364371],[0.402827,0.451504],[0.277145,0.295553]
[0.405851,0.007033],[0.300000,0.008384],[0.296321,0.015357],[0.300000,0.080178],[0.358380,0.098743],[0.390307,0.090820],[0.409996,0.649976],[0.300000,0.209354],[0.234967,0.174431]
[0.223429,0.014470],[0.257415,0.011087],[0.300000,0.001023],[0.300000,0.043647],[0.445869,0.043078],[0.373026,0.031629],[0.393928,0.394181],[0.434988,0.569117],[0.300000,0.261481]
[0.383555,0.024674],[0.421089,0.008517],[0.211547,0.007712],[0.414883,0.083821],[0.258100,0.064517],[0.300000,0.079116],[0.368093,0.564492],[0.300000,0.620855],[0.300000,0.103063]
[0.300000,0.006781],[0.376870,0.013083],[0.445150,0.019292],[0.300000,0.057982],[0.391801,0.047943],[0.443457,0.069080],[0.242499,0.312790],[0.252096,0.110026],[0.300000,0.605801]
[0.300000,0.007877],[0.408698,0.002060],[0.249603,0.009399],[0.358680,0.074483],[0.422537,0.070701],[0.300000,0.046031],[0.367070,0.480603],[0.300000,0.379406],[0.252141,0.653521]
[0.288859,0.020547],[0.225120,0.012795],[0.300000,0.025599],[0.300000,0.041064],[0.421645,0.056355],[0.373537,0.085597],[0.386473,0.187162],[0.300000,0.433502],[0.432517,0.190648]
[0.232328,0.026752],[0.300000,0.015047],[0.359707,0.001566],[0.255425,0.037173],[0.300000,0.097219],[0.435427,0.034030],[0.397770,0.670394],[0.449330,0.372412],[0.300000,0.426688]
[0.377536,0.020330],[0.297507,0.013511],[0.442934,0.019284],[0.214312,0.084882],[0.300000,0.041418],[0.440944,0.055363],[0.300000,0.361675],[0.300000,0.620108],[0.385589,0.543696]
[0.300000,0.021905],[0.386127,0.008784],[0.270351,0.022145],[0.408557,0.056047],[0.245726,0.093998],[0.440292,0.089626],[0.399330,0.504444],[0.300000,0.259993],[0.300000,0.661730]
[0.300000,0.016573],[0.431132,0.013792],[0.376358,0.003153],[0.300000,0.086570],[0.277933,0.043743],[0.425592,0.085160],[0.300000,0.588433],[0.227318,0.666114],[0.350570,0.346820]
[0.300000,0.020299],[0.240660,0.003963],[0.436627,0.011693],[0.368278,0.071074],[0.300000,0.071539],[0.436434,0.057858],[0.383804,0.136792],[0.300000,0.109404],[0.252181,0.592020]
[0.439090,0.013003],[0.300000,0.013793],[0.360344,0.029649],[0.371310,0.086784],[0.420271,0.087257],[0.300000,0.034071],[0.300000,0.221326],[0.270646,0.223696],[0.229502,0.420370]
[0.300000,0.027424],[0.432096,0.005842],[0.411113,0.017483],[0.300000,0.047429],[0.368792,0.049764],[0.254535,0.042456],[0.393987,0.662435],[0.213507,0.311122],[0.300000,0.105202]
[0.281036,0.020504],[0.366130,0.009973],[0.355659,0.019539],[0.300000,0.038901],[0.400373,0.099888],[0.202803,0.042842],[0.300000,0.368017],[0.300000,0.632518],[0.400744,0.639085]
[0.366090,0.024870],[0.390538,0.011000],[0.300000,0.027375],[0.300000,0.032741],[0.420247,0.078078],[0.410908,0.059025],[0.242092,0.527191],[0.275653,0.305405],[0.300000,0.181945]
[0.266756,0.008505],[0.387886,0.022809],[0.300000,0.024651],[0.214022,0.039049],[0.403501,0.030792],[0.387077,0.088555],[0.300000,0.599732],[0.405700,0.223498],[0.300000,0.638328]
[0.269226,0.007360],[0.382071,0.010158],[0.419446,0.012500],[0.300000,0.066935],[0.362786,0.046918],[0.300000,0.052256],[0.300000,0.529338],[0.208803,0.373953],[0.439003,0.333798]
[0.203170,0.009583],[0.410008,0.021533],[0.300000,0.025196],[0.300000,0.090835],[0.356734,0.042458],[0.375746,0.039741],[0.300000,0.429803],[0.255988,0.485433],[0.405390,0.139653]
