2124,1141,946,4365,3649,2912,7945,7152,7634
459,674,1774,2820,2823,4431,6416,7709,6083
2403,1762,1969,2671,5674,4786,6400,6769,7878
801,1162,969,3213,5170,2550,6713,7255,7573
1352,608,2383,4887,2533,4783,6636,6025,7034
1082,516,2454,5386,5539,5527,7428,7230,6203
1350,1834,1018,4730,4695,3636,6930,7718,7523
1794,2202,509,5334,2519,5181,7550,6769,7061
1926,162,2494,3232,5045,3404,7394,6519,6375
1577,633,300,2585,5619,3970,6895,7767,6026
1926,2116,239,4836,4897,2813,6487,6180,6661
538,2018,1713,3717,2580,4570,7151,6589,7323
1276,551,632,5224,2877,5342,6860,6562,7672
118,828,1033,4902,2748,4337,6236,6681,7591
255,928,455,4440,3475,5082,5900,6234,5785
2312,2358,1612,4320,5679,4195,5730,6641,7027
2390,1934,1796,2688,4691,4343,6505,7784,6705
1324,565,197,4005,5580,2547,6430,5725,7073
2111,2295,2196,2812,3830,5078,7166,7388,7829
694,1771,607,3474,4612,2529,7601,5747,7771
1837,2446,402,2942,5626,4316,7871,6227,7715
1510,2156,135,4780,2806,3383,7013,7702,7367
1337,1352,1303,3527,5145,3061,6900,5966,6849
1737,1798,1480,5319,2859,4541,7546,6121,7632
1430,390,1845,4849,4825,5228,7116,6575,7232
1592,750,604,5331,5491,3920,6538,7662,6833
1482,584,492,2730,2543,3890,7167,7269,6368
1066,1896,1052,5605,3135,5547,5939,7444,7587
1689,319,2489,4117,4701,4966,7310,7614,7741
633,1848,2361,4168,3744,4973,5904,6161,6590
1148,1201,1274,2970,2822,2721,7543,7180,6441
1853,2261,756,3950,4652,4198,5712,6276,6472
2335,1667,857,3325,4212,2922,6863,7091,6383
584,1500,2240,2923,2977,4729,6427,6202,6271
2008,1837,2225,2819,3507,2967,7513,7824,7934
746,2451,1142,4879,3442,5118,6721,6986,5936
1640,814,2317,4676,3707,3266,7286,6104,7532
624,356,2350,2878,2511,4305,7120,6253,7618
1224,1975,2138,2672,5390,4016,7536,6921,6930
1763,789,2366,5327,4856,2686,7308,6536,6457
2441,952,466,4804,4952,4485,6856,5829,6565
1385,576,813,4058,3534,3031,6693,6652,7393
318,1312,1217,5373,3537,4552,7831,7238,6642
333,649,1008,3498,3024,4693,6726,6119,5843
276,2454,256,4868,4452,4034,7998,6968,7710
392,1542,2219,5226,5501,2949,6546,6165,6803
932,502,2024,3254,2978,4267,7381,6644,7233
1383,1545,1522,5219,5447,2822,6451,6448,6835
2349,2147,2183,4331,3575,4207,7158,5913,7018
718,2389,1375,5404,2772,4361,6646,7599,6023
1757,136,1518,4386,4969,5187,6532,5916,6652
307,1095,1158,3520,4232,4540,6328,7376,6850
1622,114,1095,5295,4056,3120,7269,5837,7272
1692,1462,2232,4672,4844,3387,7321,7136,7628
2308,377,1776,3289,2768,5354,6084,5837,5848
885,743,1590,4036,4521,4408,7702,6205,5992
1357,737,2337,3983,2658,2534,7353,6696,6940
1959,1835,628,2706,4684,3810,6470,6050,6182
1288,1227,239,4465,3822,5619,6069,7019,5780
1953,544,111,4784,2637,3969,7329,6762,7847
637,1861,354,4875,2592,4959,7173,6809,6528
1056,1514,1860,5021,2842,5451,6003,7744,7890
2399,369,627,5272,2671,5281,6350,6877,7867
256,580,277,2922,3622,4695,6406,7824,6683
1105,1126,1338,3229,5545,4532,7279,6474,7817
2287,2055,728,4231,2508,5632,5863,6351,6050
2468,2314,1229,5477,5287,3289,6941,6362,7727
1588,644,998,4937,3838,3017,7322,7373,6449
1703,1803,1123,2635,4375,5411,6601,6833,7941
2248,2135,2414,4286,2964,2800,6775,6772,6207
1338,1155,2272,4400,4393,5343,7046,7920,7098
2117,2331,1860,3128,3156,4273,6557,6948,7285
2118,142,1704,5085,4751,4660,6291,7031,5936
605,389,1776,5024,4240,4731,6452,5845,7273
1240,285,2424,4955,3971,3056,7851,6956,6883
1548,157,457,4999,2639,4527,7418,7736,6212
238,1919,859,5094,2971,2616,7826,7162,6342
1739,1951,2055,3711,4738,4239,6877,6434,7465
649,2263,106,3924,5396,2700,7903,7361,6747
1318,1640,272,3588,2540,2882,7588,5957,6424
283,378,823,5183,5387,5599,7876,5985,5715
923,1766,2311,5075,3589,5576,6058,5834,7825
245,382,1025,3473,3203,4326,7535,7943,6169
1140,1914,1527,4795,4382,3918,6963,7071,7449
1906,289,2435,5444,5498,3671,7494,6842,6994
538,986,286,3651,4079,3199,6925,6079,5917
2025,695,310,2716,3627,5510,6438,6755,5752
1102,1440,2335,4515,2852,3273,7806,5807,6397
295,1802,802,4168,3383,3355,6605,5810,6588
2310,745,2195,3981,2740,5484,7323,7669,6511
1478,2366,2143,4887,3350,3132,6515,7789,7338
1159,1340,1908,2709,4960,4842,6891,6626,6591
1755,2192,365,4022,3225,4157,6301,6259,7914
2101,1617,861,4677,2942,2705,6140,7790,6784
2494,1574,2372,3135,2583,3802,6167,6686,6191
1258,415,1180,3883,3906,4704,6504,7208,7521
1859,2138,317,3767,5332,2654,7664,7674,7315
2143,459,1316,3353,5671,5231,6575,7241,7661
872,540,1821,4734,5608,4668,7781,7013,7882
1316,1124,612,5588,4002,2842,7879,6643,6012
491,1895,2247,5682,4439,3950,6493,6921,6775
143,1598,1174,4426,3656,3057,6569,6162,7654
1398,544,1094,2644,2876,5063,5731,5773,7071
1056,1509,1770,4182,5452,5237,7894,7758,6299
2224,2159,768,3552,5109,2517,5702,6754,6898
1007,1246,2286,3751,5622,2768,7939,6245,6186
1176,1114,665,4331,4483,5448,6945,6444,6364
698,100,1180,3501,5118,3089,6933,6977,6513
108,2322,609,5542,5426,3817,6741,7128,7294
2309,1403,879,5332,4117,5378,7450,5844,7601
2182,1075,1995,2665,4754,2800,7915,7932,6719
2112,1199,1524,5188,2596,5215,6671,6523,7411
541,276,2127,5351,5257,3631,6909,5808,7721
2027,1649,2203,3523,5103,3918,6193,7208,7659
1811,565,799,4273,2951,3293,7032,7186,6190
1185,1575,1816,5384,2998,4220,7473,6088,7557
1142,649,1617,2569,2678,4827,6497,7842,5711
1980,229,1822,4102,4477,4822,7979,5837,6529
1539,1722,1947,4414,4497,5670,6615,6353,6690
226,337,1226,5247,4034,3535,7228,7292,5979
1285,2197,2036,3607,5110,3726,6680,7199,7884
2131,1930,1649,4853,4456,4846,6858,6293,5861
1247,1988,419,4541,2908,3820,7659,5763,5936
1553,2045,895,2833,2625,2923,7723,6008,7598
1193,1388,382,5569,4991,2858,7564,7602,6503
